NPLV,TST,C
512324,1672.104,0.044014752
512327,1637.5789,0.062130332
512328,1649.4512,0.05505203
512331,1636.5686,0.061196756
512333,1638.9839,0.06026004
512339,1643.5258,0.05067045
512344,1638.9918,0.06318498
512348,1640.2488,0.04903867
512349,1634.4764,0.040106207
512350,1647.2802,0.07386479
512352,1665.583,0.054513212
512354,1637.911,0.042975698
512355,1670.4336,0.052738044
512356,1663.6417,0.050717633
512358,1649.2098,0.053759318
512361,1660.0167,0.06387103
512362,1658.9259,0.053530328
512363,1644.0685,0.05987126
512366,1654.6936,0.05575908
512367,1657.2203,0.051954277
512368,1667.6372,0.04552786
512369,1634.145,0.05061355
512370,1635.3846,0.051675927
512371,1653.8936,0.05223201
512372,1635.2571,0.05916028
512373,1646.2861,0.047012035
512374,1665.8068,0.05454719
512375,1668.377,0.05316941
512376,1651.9136,0.04747398
512377,1650.6859,0.054973703
512379,1659.9413,0.048928555
512380,1648.6803,0.052993875
512381,1617.9226,0.070802465
512382,1649.378,0.054762643
512383,1639.7109,0.04649771
512384,1654.265,0.057682876
512385,1668.0105,0.04383237
512386,1659.9702,0.05721985
512387,1646.4564,0.12361665
512390,1657.7556,0.044002715
512391,1658.1317,0.054576788
512392,1639.754,0.050414924
512393,1649.6025,0.054869957
512394,1636.6078,0.055393826
512395,1635.9463,0.049588047
512396,1663.207,0.04341942
512397,1651.6814,0.043118708
512398,1635.3193,0.059184164
512399,1646.8539,0.04763361
512402,1647.7635,0.060953952
512403,1636.8757,0.056140695
512405,1647.989,0.04994405
512407,1664.105,0.055434436
512408,1635.1492,0.050393734
512409,1645.002,0.06315442
512410,1659.1042,0.058440518
512411,1654.7499,0.05518511
512412,1666.097,0.052825656
512413,1663.885,0.049910165
512414,1656.1812,0.073613435
512415,1660.3184,0.0795697
512416,1644.8638,0.056575917
512417,1642.2874,0.057797853
512418,1636.6934,0.05028428
512419,1650.2375,0.04786421
512420,1643.6978,0.051418304
512421,1677.0886,0.059981633
512422,1637.0754,0.04712758
512423,1653.2657,0.07192858
512424,1632.3729,0.071320355
512425,1668.3074,0.048432298
512426,1625.892,0.05625331
512427,1646.7561,0.050359625
512428,1632.7374,0.056316223
512430,1642.4045,0.101699516
512431,1626.5707,0.058803394
512432,1629.2792,0.056315232
512433,1631.4424,0.04582942
512434,1626.9641,0.06383544
512435,1615.9896,0.0637553
512436,1633.6986,0.06487737
512437,1644.138,0.049882382
512438,1628.9468,0.055264205
512440,1639.0767,0.067247234
512442,1632.245,0.059010476
512443,1647.4323,0.050013717
512444,1632.3197,0.06609199
512448,1623.6571,0.058657374
512449,1629.2192,0.051065356
512450,1640.6123,0.050984528
512451,1631.1124,0.051228967
512452,1641.8433,0.058837894
512453,1632.0767,0.04861462
512454,1645.5253,0.050117973
512455,1637.5643,0.06061392
512456,1639.7773,0.0449325
512461,1646.2787,0.05576089
512462,1637.2499,0.057585128
512464,1663.02,0.045228887
512469,1650.3137,0.076109365
512471,1630.0549,0.056714304
512473,1651.9114,0.05899095
512474,1663.2034,0.06592357
512477,1655.8906,0.055723418
512481,1649.053,0.06252613
512482,1654.3475,0.060865052
512485,1662.1355,0.05553613
512489,1656.2504,0.05944176
512490,1651.8967,0.06406195
512491,1636.338,0.048819978
512492,1657.007,0.047693476
512494,1630.3588,0.07998508
512496,1649.985,0.052980915
512497,1664.8267,0.05383414
512499,1637.0107,0.04844886
512500,1661.5602,0.052163012
512501,1664.2888,0.050959922
512502,1640.158,0.060023803
512503,1647.2896,0.05951695
512504,1649.6758,0.060126945
512505,1648.736,0.061949216
512506,1653.8647,0.05136645
512507,1655.3501,0.057996172
512508,1642.0791,0.05905843
512509,1644.9446,0.059614547
512511,1629.6709,0.06784359
512512,1660.4417,0.052499738
512513,1653.9534,0.06758244
512514,1646.1707,0.054482702
512515,1658.9177,0.055073112
512516,1654.9662,0.0635555
512517,1634.8259,0.06132112
512518,1656.4817,0.050317936
512519,1665.1863,0.06129767
512520,1623.4388,0.08227723
512521,1617.1996,0.07779556
512522,1619.0663,0.06810921
512523,1634.1755,0.072856925
512524,1646.1522,0.04625031
512525,1658.2493,0.053074915
512526,1653.4847,0.05799793
512527,1667.6803,0.05542899
512528,1641.8029,0.057756126
512529,1654.0544,0.061722517
512531,1664.5918,0.05927174
512532,1643.5547,0.066460766
512533,1653.5587,0.05201531
512534,1647.0881,0.06442639
512535,1662.2379,0.055467498
512536,1650.4839,0.051698573
512537,1645.7004,0.056720067
512538,1647.4265,0.060618337
512539,1653.0685,0.055971872
512540,1666.4667,0.050319146
512541,1660.7621,0.07674871
512542,1648.362,0.059858747
512544,1654.6274,0.049631476
512545,1659.7493,0.05587028
512546,1639.6218,0.06321638
512547,1628.7031,0.07070031
512548,1642.6626,0.06431513
512549,1661.0068,0.05309762
512550,1662.638,0.070329666
512551,1664.5405,0.079742104
512552,1657.8345,0.057241227
512553,1640.839,0.068420835
512554,1665.7195,0.05467015
512555,1661.6462,0.056089137
512556,1634.4795,0.064859554
512557,1641.8096,0.059344735
512558,1624.3279,0.07139396
512559,1649.9581,0.056775093
512560,1644.9883,0.06945338
512561,1653.9355,0.056361217
512562,1660.1436,0.06719239
512563,1644.9888,0.06502056
512564,1651.2366,0.06551181
512566,1632.8525,0.05168542
512567,1627.7499,0.056713898
512568,1636.4115,0.06507186
512569,1630.6925,0.058701895
512570,1633.4954,0.061153855
512571,1662.9786,0.05820229
512572,1639.7556,0.07640345
512573,1629.5067,0.07723284
512574,1642.0514,0.07730647
512575,1634.5354,0.08672345
512576,1626.2616,0.04962095
512577,1623.9807,0.065013215
512578,1643.67,0.07084813
512579,1645.623,0.051844407
512580,1661.471,0.047211453
512581,1649.4249,0.0465857
512582,1662.6558,0.047720477
512583,1642.2988,0.05948116
512584,1660.9048,0.04603718
512585,1630.0122,0.054575313
512586,1663.031,0.04428415
512588,1619.6528,0.07225583
512589,1636.8328,0.06425397
512591,1672.2422,0.05788598
512593,1620.6917,0.054497562
512594,1646.2998,0.06739416
512595,1657.3783,0.06770204
512596,1658.8518,0.062133007
512597,1670.6355,0.055813786
512598,1639.6957,0.056228068
512599,1647.8335,0.07038391
512600,1640.7572,0.0649277
512602,1637.9456,0.06548367
512603,1659.7677,0.067339756
512604,1664.6719,0.07076513
512605,1632.7861,0.07200242
512606,1640.7073,0.07626751
512607,1641.682,0.05794271
512608,1631.3607,0.06366576
512609,1618.7821,0.057715714
512610,1637.7031,0.06146619
512612,1639.9802,0.06881291
512613,1660.7412,0.07169529
512614,1646.6123,0.058882505
512615,1623.1631,0.043739773
512617,1654.4504,0.05561099
512619,1625.7637,0.048396733
512621,1651.1323,0.07424149
512626,1646.7349,0.06905816
512627,1654.4747,0.06695402
512628,1662.0867,0.05471563
512629,1653.328,0.084785365
512630,1640.582,0.07733138
512631,1630.2793,0.08644059
512632,1658.9033,0.07066273
512634,1638.755,0.061092176
512635,1654.6499,0.08884129
512636,1642.833,0.07010163
512637,1650.0383,0.067266315
512642,1626.2285,0.07473033
512644,1653.1755,0.054416157
512647,1637.5619,0.084972516
512649,1626.9528,0.08295329
512650,1652.9266,0.09219104
512651,1639.9929,0.08996393
512652,1632.8062,0.074878216
512653,1651.9177,0.0791353
512654,1657.2743,0.08457988
512655,1645.8333,0.08677197
512656,1656.862,0.08973329
512658,1639.665,0.09550027
512659,1633.2516,0.08174588
512660,1641.185,0.08635743
512661,1639.8152,0.08355338
512662,1624.5574,0.07985219
512665,1639.1884,0.07545546
512667,1670.2065,0.08064159
512669,1631.8586,0.075636975
512670,1655.3198,0.070673816
512671,1666.1301,0.07848715
512672,1672.4335,0.093448885
512674,1661.5159,0.09509358
512675,1640.6251,0.06949818
512676,1662.5592,0.06676904
512677,1661.9497,0.055155713
512678,1653.6016,0.06236273
512679,1667.23,0.05724451
512680,1650.7197,0.067476586
512681,1643.9625,0.071701854
512682,1667.7106,0.06698012
512683,1666.9977,0.07441166
512684,1664.3008,0.06898465
512685,1657.8794,0.07068551
512686,1661.3589,0.06924943
512687,1634.3123,0.06406802
512688,1658.0801,0.06077909
512689,1673.1128,0.065821014
512690,1658.6006,0.056722637
512691,1638.5361,0.06189749
512692,1671.9161,0.06403168
512693,1643.3733,0.06968304
512694,1635.1146,0.047739495
512695,1664.9028,0.06941134
512698,1644.4268,0.073286735
512699,1656.1106,0.08200511
512700,1656.0586,0.07498298
512701,1636.1991,0.07329921
512702,1662.4915,0.071104735
512704,1666.1567,0.056153174
512705,1666.0,0.05226371
512706,1656.2969,0.0594742
512707,1663.1292,0.06685976
512708,1643.3168,0.07231599
512709,1681.179,0.06682618
512710,1670.9427,0.06452716
512711,1658.2642,0.061191853
512712,1662.5791,0.071153976
512713,1672.2297,0.056836307
512714,1663.8654,0.05282614
512715,1639.2244,0.065186456
512716,1657.0779,0.049847905
512718,1656.9946,0.05901583
512719,1632.8834,0.06628398
512720,1642.6968,0.06658092
512721,1638.7865,0.08042028
512723,1615.1185,0.06463196
512725,1652.4153,0.060352016
512726,1641.0134,0.07896471
512727,1634.3888,0.07599003
512728,1656.325,0.080264255
512729,1640.7993,0.07275314
512730,1645.689,0.08216771
512731,1647.2026,0.08461876
512736,1655.6082,0.061688226
512737,1630.0068,0.057680592
512738,1655.157,0.052113093
512739,1651.362,0.0765198
512740,1658.4437,0.072229356
512741,1655.3059,0.05054986
512742,1670.4724,0.051642597
512743,1662.1826,0.05758978
512744,1666.5648,0.067987554
512745,1662.4753,0.071299344
512746,1667.0752,0.056710344
512747,1650.2488,0.08293527
512748,1641.6519,0.06452607
512749,1667.6794,0.07552163
512750,1672.0037,0.06862675
512751,1643.6873,0.085033074
512752,1638.4763,0.075884454
512753,1642.0413,0.07639818
512754,1641.2333,0.07811612
512755,1629.0548,0.082929716
512756,1660.0299,0.063498035
512757,1641.0461,0.07032419
512758,1653.4934,0.06103078
512759,1659.4907,0.061698463
512760,1666.1306,0.06965527
512761,1659.7969,0.068112075
512762,1660.6969,0.061645694
512763,1631.1051,0.078223266
512764,1635.8574,0.057814326
512765,1647.0881,0.0637976
512768,1624.6204,0.058587186
512769,1632.428,0.056274116
512775,1643.4084,0.055734817
512776,1658.6014,0.061864913
512777,1665.5942,0.055710427
512778,1649.6934,0.061797485
512782,1636.2135,0.07463931
512788,1641.4622,0.08025261
512793,1644.5774,0.06867733
512796,1663.076,0.070331514
512797,1662.2549,0.061892662
512799,1634.024,0.067619
512800,1653.6737,0.07489889
512801,1662.8533,0.08796641
512802,1668.2192,0.0638205
512803,1642.2318,0.07454515
512804,1665.3428,0.060939983
512805,1632.5275,0.09693244
512806,1642.3591,0.07028719
512807,1630.2192,0.08520998
512813,1666.2339,0.0678076
512814,1668.7424,0.07232345
512815,1642.7043,0.06437818
512819,1657.7535,0.099786766
512821,1645.4711,0.07780634
512823,1668.6066,0.07174995
512824,1638.9304,0.07130948
512825,1656.6641,0.0843157
512826,1636.3009,0.07825164
512829,1636.5264,0.14212269
512830,1625.4963,0.08151282
512832,1631.5762,0.15470687
512833,1632.695,0.081257336
512834,1630.6388,0.13898118
512836,1626.0339,0.07241738
512838,1631.4891,0.09035416
512839,1621.4878,0.07644086
512840,1615.7336,0.069514036
512841,1638.9155,0.07760002
512842,1629.2949,0.0841443
512843,1622.4128,0.07218171
512844,1633.3235,0.0745082
512845,1634.0009,0.07983756
512846,1635.5217,0.09266027
512847,1618.7302,0.07574666
512849,1627.8694,0.08119351
512850,1612.8707,0.06488348
512851,1624.6244,0.070155434
512852,1640.96,0.07713428
512853,1654.9524,0.09134394
512854,1624.1913,0.064813346
512855,1660.7549,0.07219104
512856,1646.7065,0.08733645
512857,1647.4369,0.07896249
512858,1644.1693,0.071510054
512859,1657.0172,0.09397943
512861,1669.7161,0.054883327
512862,1665.3579,0.04335537
512863,1661.1211,0.051993914
512864,1632.6083,0.05316653
512865,1621.5035,0.061932802
512866,1630.4587,0.07262873
512867,1664.3292,0.0496776
512868,1640.3624,0.059160784
512869,1642.2864,0.051107913
512870,1662.0984,0.05917834
512871,1665.2668,0.0713005
512872,1654.9595,0.0820418
512873,1647.6892,0.05352698
512874,1642.5718,0.06423612
512876,1660.7996,0.060392726
512878,1640.6198,0.058534857
512882,1654.6091,0.07820329
512884,1671.7893,0.06646504
512885,1671.6208,0.076051526
512887,1666.7794,0.071493715
512888,1661.0018,0.08850552
512891,1665.7405,0.087678656
512892,1657.3356,0.09671132
512893,1656.6199,0.06659086
512894,1658.919,0.06898488
512897,1654.1307,0.08585909
512898,1649.2477,0.075502224
512899,1633.7507,0.06179
512900,1645.169,0.055536587
512901,1655.1399,0.063256934
512902,1653.614,0.05199462
512903,1668.4543,0.057323884
512904,1670.3625,0.06009642
512905,1642.7087,0.06472237
512906,1638.9265,0.06645546
512907,1631.676,0.081476256
512909,1620.1732,0.07916358
512910,1645.9924,0.061175775
512911,1627.1638,0.060432877
512913,1647.9949,0.06378509
512914,1653.584,0.061159678
512915,1629.0717,0.04923306
512917,1646.5201,0.06486742
512918,1626.082,0.06979074
512919,1649.7705,0.08026192
512923,1622.5554,0.058210976
512925,1642.0905,0.06725175
512929,1628.7357,0.083296984
512931,1615.8407,0.07665655
512933,1659.04,0.06430668
512934,1643.7585,0.054351583
512935,1660.991,0.052793715
512936,1672.685,0.06055516
512937,1626.1426,0.07146492
512938,1640.772,0.080268085
512939,1642.3435,0.06705415
512940,1631.4021,0.069032066
512942,1633.9438,0.0765823
512943,1650.5801,0.08852355
512945,1676.9948,0.053833
512946,1636.8922,0.05799194
512947,1651.7178,0.0483943
512949,1659.6724,0.059635926
512951,1644.5925,0.052036613
512952,1660.5154,0.06460988
512953,1651.242,0.05789536
512954,1636.6315,0.075241685
512955,1624.9355,0.06496349
512958,1627.3644,0.076749705
512959,1638.4054,0.056769866
512961,1624.1047,0.06968601
512962,1627.3069,0.072550565
512963,1619.5773,0.061362084
512965,1653.9292,0.054145496
512966,1631.3433,0.06958588
512967,1650.1648,0.06407004
512970,1661.5403,0.067330815
512973,1641.7584,0.06761845
512974,1650.8132,0.06941097
512975,1641.9402,0.06888975
512976,1630.9445,0.070264384
512977,1637.5713,0.06342987
512978,1631.908,0.07402997
512979,1634.9059,0.07736784
512980,1648.2751,0.08173521
512982,1628.9841,0.068305045
512984,1629.5039,0.066566415
512986,1622.311,0.07983647
512990,1661.732,0.058138408
512991,1631.2955,0.07559658
512992,1620.6151,0.07383475
512993,1621.0671,0.07250988
512994,1626.3396,0.076245
512995,1615.2388,0.073606975
512999,1668.1244,0.051143248
513000,1639.1438,0.0646858
513001,1631.7856,0.055817924
513002,1660.8679,0.049997114
513003,1649.2672,0.05335431
513004,1655.8745,0.05691653
513005,1649.2201,0.06448831
513006,1648.715,0.06737507
513007,1645.8148,0.06446558
513008,1628.1536,0.106497265
513009,1622.2797,0.084751256
513010,1658.4772,0.06620586
513013,1657.1582,0.057953488
513015,1640.9122,0.068964064
513016,1650.166,0.0661671
513017,1629.7491,0.069862865
513018,1656.227,0.059764825
513019,1624.2372,0.0736919
513020,1662.707,0.05953108
513021,1657.1182,0.056332644
513022,1635.3617,0.0676679
513023,1660.192,0.06290234
513024,1628.5266,0.08552506
513025,1623.6628,0.0759277
513028,1633.653,0.06604992
513029,1624.4019,0.06161071
513030,1613.8145,0.07377188
513034,1628.2106,0.07274917
513036,1625.1746,0.07430249
513038,1617.9622,0.07387587
513042,1610.4047,0.08184466
513047,1651.7037,0.06138731
513049,1621.3658,0.077231035
513051,1631.1624,0.06411396
513056,1624.096,0.07021598
513057,1625.5361,0.07539539
513058,1627.719,0.068044655
513059,1639.7147,0.07039895
513060,1640.9487,0.06456993
513061,1665.7178,0.06276541
513062,1670.2058,0.05752656
513064,1634.2296,0.072166115
513065,1628.8876,0.07131167
513066,1661.8505,0.069703065
513067,1641.0765,0.07568828
513068,1641.0745,0.06815936
513069,1663.5322,0.06165229
513070,1654.8782,0.073085964
513072,1618.9517,0.08385577
513073,1626.9641,0.08475344
513074,1660.8589,0.06622678
513075,1654.739,0.06982603
513078,1622.2728,0.07664685
513079,1616.8357,0.0708964
513080,1635.4891,0.07374434
513081,1652.9542,0.062112406
513082,1669.9099,0.06120469
513083,1670.019,0.06040934
513084,1628.8602,0.081296414
513085,1630.2754,0.07231958
513087,1639.2917,0.06936846
513088,1655.6069,0.058447074
513089,1671.5632,0.06515257
513091,1656.431,0.057238407
513092,1668.6089,0.067557484
513093,1660.1508,0.062018204
513094,1660.9248,0.06768875
