NPLV,TST,C
512324,1677.943,0.043822106
512327,1633.692,0.061965972
512328,1649.1818,0.054898676
512331,1630.8961,0.06108211
512333,1641.5249,0.060047194
512339,1651.4884,0.050636977
512344,1632.4869,0.06328119
512348,1633.5684,0.04871868
512349,1625.0905,0.039846715
512350,1639.8365,0.073604904
512352,1669.0521,0.054175567
512354,1641.4546,0.0426931
512355,1665.9149,0.052447505
512356,1657.4053,0.050455533
512358,1653.7191,0.05377803
512361,1655.9677,0.06352772
512362,1660.324,0.053342335
512363,1641.9668,0.05975884
512366,1654.9147,0.055859543
512367,1648.4625,0.051920682
512368,1670.2,0.04553022
512369,1629.1425,0.050676662
512370,1636.8019,0.051456194
512371,1653.7239,0.05221933
512372,1636.7181,0.059440557
512373,1645.9281,0.04699962
512374,1667.8389,0.05436124
512375,1666.248,0.0530707
512376,1651.4479,0.047426213
512377,1650.9658,0.05498859
512379,1655.2639,0.04880401
512380,1652.3129,0.052877877
512381,1605.224,0.07079754
512382,1641.4545,0.054694988
512383,1639.5907,0.04636681
512384,1658.5906,0.05756544
512385,1670.4574,0.043711174
512386,1660.8529,0.05738488
512387,1652.8673,0.122884646
512390,1663.5353,0.043837614
512391,1656.6875,0.054498937
512392,1635.512,0.05021573
512393,1649.2181,0.054754365
512394,1631.0675,0.055456802
512395,1634.4467,0.049571626
512396,1662.4119,0.043253098
512397,1654.2823,0.043029502
512398,1622.2896,0.05900201
512399,1642.2008,0.04759447
512402,1638.8093,0.060927793
512403,1637.4008,0.05599975
512405,1649.8379,0.04975477
512407,1664.0012,0.055332627
512408,1644.577,0.050361596
512409,1636.706,0.06316228
512410,1654.1354,0.058433652
512411,1652.5719,0.05509111
512412,1666.4358,0.05275407
512413,1668.0957,0.049877755
512414,1649.7164,0.07361433
512415,1657.6644,0.079367705
512416,1635.6443,0.056724
512417,1634.5491,0.057751697
512418,1639.187,0.05028625
512419,1641.4186,0.04781426
512420,1640.0922,0.051413
512421,1687.2015,0.060172193
512422,1639.5001,0.04710759
512423,1654.2104,0.07220444
512424,1634.5062,0.07152763
512425,1669.7211,0.048426293
512426,1625.5204,0.056001212
512427,1644.2335,0.050350383
512428,1625.6096,0.056421895
512430,1634.5592,0.10116798
512431,1620.3279,0.05853242
512432,1631.7799,0.056276266
512433,1632.5431,0.045754656
512434,1621.216,0.06374773
512435,1617.4773,0.06354844
512436,1632.4894,0.064461336
512437,1643.137,0.049624886
512438,1623.7848,0.05513062
512440,1637.9948,0.06715243
512442,1640.2833,0.058662802
512443,1645.778,0.049742788
512444,1620.9381,0.06585715
512448,1621.1752,0.05829852
512449,1630.0664,0.050592806
512450,1631.0319,0.05086597
512451,1627.8513,0.051075693
512452,1636.8151,0.058635905
512453,1619.9298,0.048452485
512454,1644.6018,0.050074354
512455,1626.8882,0.060601633
512456,1627.0653,0.044724565
512461,1641.0299,0.05571215
512462,1631.8007,0.05744836
512464,1665.3878,0.0451169
512469,1652.5719,0.0758995
512471,1631.7621,0.056531228
512473,1654.0201,0.05905342
512474,1664.114,0.06620674
512477,1659.1693,0.055679403
512481,1647.5837,0.062760495
512482,1655.989,0.06077573
512485,1668.4244,0.055533014
512489,1645.0443,0.059437938
512490,1642.6266,0.064473644
512491,1643.8734,0.048831757
512492,1659.8214,0.047759496
512494,1629.3141,0.07999427
512496,1661.6049,0.05290565
512497,1673.5511,0.05387282
512499,1641.6392,0.048367918
512500,1668.5947,0.052221898
512501,1670.6732,0.050874762
512502,1642.8964,0.059964128
512503,1637.8588,0.059295177
512504,1647.3671,0.06007913
512505,1644.044,0.061546255
512506,1628.0659,0.051049072
512507,1647.8352,0.057953656
512508,1643.7319,0.05900957
512509,1644.2684,0.059565417
512511,1627.9984,0.06761813
512512,1662.8141,0.052390702
512513,1665.4022,0.06764944
512514,1636.8239,0.054542366
512515,1658.2876,0.05504363
512516,1648.326,0.06381289
512517,1636.1034,0.061335526
512518,1657.0487,0.050155662
512519,1666.1133,0.061340217
512520,1609.7274,0.082292415
512521,1608.546,0.07774876
512522,1607.3236,0.067872226
512523,1624.1737,0.072720625
512524,1645.4387,0.04619283
